# Wavelength(μm)  CH4_only    Sorg_1x     Sorg_10x      Sorg_20x      Sorg_50x
3.8960E-01    2.9052E-03    2.9032E-03    2.9071E-03    2.9078E-03    2.8764E-03
3.9116E-01    2.9050E-03    2.9030E-03    2.9069E-03    2.9076E-03    2.8763E-03
3.9272E-01    2.9047E-03    2.9027E-03    2.9066E-03    2.9073E-03    2.8761E-03
3.9429E-01    2.9045E-03    2.9025E-03    2.9063E-03    2.9071E-03    2.8760E-03
3.9587E-01    2.9042E-03    2.9022E-03    2.9061E-03    2.9068E-03    2.8759E-03
3.9745E-01    2.9041E-03    2.9021E-03    2.9060E-03    2.9067E-03    2.8758E-03
3.9904E-01    2.9037E-03    2.9018E-03    2.9056E-03    2.9063E-03    2.8756E-03
4.0064E-01    2.9035E-03    2.9015E-03    2.9053E-03    2.9060E-03    2.8755E-03
4.0224E-01    2.9032E-03    2.9012E-03    2.9050E-03    2.9057E-03    2.8753E-03
4.0385E-01    2.9029E-03    2.9010E-03    2.9047E-03    2.9055E-03    2.8752E-03
4.0546E-01    2.9026E-03    2.9007E-03    2.9045E-03    2.9052E-03    2.8750E-03
4.0709E-01    2.9024E-03    2.9005E-03    2.9042E-03    2.9049E-03    2.8749E-03
4.0871E-01    2.9021E-03    2.9002E-03    2.9039E-03    2.9047E-03    2.8747E-03
4.1035E-01    2.9019E-03    2.9000E-03    2.9037E-03    2.9044E-03    2.8746E-03
4.1199E-01    2.9016E-03    2.8997E-03    2.9034E-03    2.9041E-03    2.8745E-03
4.1364E-01    2.9013E-03    2.8995E-03    2.9031E-03    2.9039E-03    2.8743E-03
4.1529E-01    2.9011E-03    2.8992E-03    2.9029E-03    2.9036E-03    2.8742E-03
4.1695E-01    2.9009E-03    2.8991E-03    2.9027E-03    2.9034E-03    2.8741E-03
4.1862E-01    2.9007E-03    2.8988E-03    2.9025E-03    2.9032E-03    2.8740E-03
4.2029E-01    2.9003E-03    2.8985E-03    2.9021E-03    2.9028E-03    2.8738E-03
4.2197E-01    2.9001E-03    2.8982E-03    2.9018E-03    2.9026E-03    2.8736E-03
4.2366E-01    2.8998E-03    2.8980E-03    2.9016E-03    2.9023E-03    2.8735E-03
4.2535E-01    2.8996E-03    2.8977E-03    2.9013E-03    2.9020E-03    2.8733E-03
4.2705E-01    2.8993E-03    2.8975E-03    2.9011E-03    2.9018E-03    2.8732E-03
4.2876E-01    2.8990E-03    2.8973E-03    2.9008E-03    2.9015E-03    2.8731E-03
4.3048E-01    2.8988E-03    2.8970E-03    2.9005E-03    2.9012E-03    2.8729E-03
